Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='cls_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.793367, train acc: 0.433836, train avg acc: 0.257888
Test 0, loss: 2.203057, test acc: 0.598865, test avg acc: 0.446959
Train 1, loss: 2.219171, train acc: 0.632838, train avg acc: 0.449697
Test 1, loss: 2.009855, test acc: 0.715154, test avg acc: 0.587669
Train 2, loss: 2.065798, train acc: 0.692793, train avg acc: 0.533390
Test 2, loss: 1.888386, test acc: 0.784846, test avg acc: 0.674802
Train 3, loss: 1.965889, train acc: 0.740432, train avg acc: 0.601842
Test 3, loss: 1.831036, test acc: 0.790113, test avg acc: 0.683994
Train 4, loss: 1.898815, train acc: 0.770155, train avg acc: 0.639501
Test 4, loss: 1.762163, test acc: 0.833063, test avg acc: 0.743826
Train 5, loss: 1.860097, train acc: 0.784507, train avg acc: 0.669695
Test 5, loss: 1.744615, test acc: 0.818882, test avg acc: 0.713587
Train 6, loss: 1.821602, train acc: 0.802728, train avg acc: 0.696297
Test 6, loss: 1.722751, test acc: 0.836305, test avg acc: 0.770360
Train 7, loss: 1.801361, train acc: 0.814129, train avg acc: 0.709146
Test 7, loss: 1.719433, test acc: 0.829417, test avg acc: 0.729936
Train 8, loss: 1.773144, train acc: 0.826547, train avg acc: 0.728345
Test 8, loss: 1.718277, test acc: 0.816856, test avg acc: 0.743308
Train 9, loss: 1.754703, train acc: 0.829601, train avg acc: 0.736731
Test 9, loss: 1.628066, test acc: 0.875608, test avg acc: 0.801576
Train 10, loss: 1.732087, train acc: 0.841918, train avg acc: 0.754530
Test 10, loss: 1.679091, test acc: 0.855754, test avg acc: 0.796599
Train 11, loss: 1.717516, train acc: 0.846600, train avg acc: 0.762056
Test 11, loss: 1.645826, test acc: 0.853728, test avg acc: 0.788302
Train 12, loss: 1.713705, train acc: 0.851283, train avg acc: 0.768371
Test 12, loss: 1.626185, test acc: 0.873987, test avg acc: 0.802000
Train 13, loss: 1.699599, train acc: 0.853013, train avg acc: 0.773199
Test 13, loss: 1.665016, test acc: 0.849676, test avg acc: 0.778983
Train 14, loss: 1.691297, train acc: 0.858713, train avg acc: 0.779489
Test 14, loss: 1.629181, test acc: 0.868720, test avg acc: 0.810750
Train 15, loss: 1.683599, train acc: 0.858103, train avg acc: 0.778685
Test 15, loss: 1.635838, test acc: 0.869530, test avg acc: 0.804320
Train 16, loss: 1.676558, train acc: 0.865432, train avg acc: 0.792825
Test 16, loss: 1.578311, test acc: 0.886548, test avg acc: 0.828767
Train 17, loss: 1.667551, train acc: 0.867060, train avg acc: 0.791961
Test 17, loss: 1.579693, test acc: 0.880875, test avg acc: 0.833901
Train 18, loss: 1.658619, train acc: 0.869096, train avg acc: 0.796998
Test 18, loss: 1.628652, test acc: 0.875203, test avg acc: 0.825023
Train 19, loss: 1.648076, train acc: 0.875000, train avg acc: 0.808478
Test 19, loss: 1.603848, test acc: 0.867909, test avg acc: 0.828047
Train 20, loss: 1.640759, train acc: 0.876934, train avg acc: 0.809764
Test 20, loss: 1.620979, test acc: 0.871556, test avg acc: 0.812953
Train 21, loss: 1.644327, train acc: 0.878257, train avg acc: 0.809999
Test 21, loss: 1.595615, test acc: 0.882091, test avg acc: 0.815058
Train 22, loss: 1.636325, train acc: 0.878156, train avg acc: 0.809985
Test 22, loss: 1.602386, test acc: 0.880470, test avg acc: 0.815384
Train 23, loss: 1.634378, train acc: 0.882227, train avg acc: 0.817599
Test 23, loss: 1.588636, test acc: 0.883712, test avg acc: 0.814215
Train 24, loss: 1.619912, train acc: 0.888335, train avg acc: 0.829168
Test 24, loss: 1.601097, test acc: 0.876418, test avg acc: 0.832430
Train 25, loss: 1.619864, train acc: 0.882940, train avg acc: 0.819552
Test 25, loss: 1.592310, test acc: 0.882496, test avg acc: 0.815907
Train 26, loss: 1.617920, train acc: 0.887419, train avg acc: 0.824444
Test 26, loss: 1.566683, test acc: 0.891005, test avg acc: 0.833983
Train 27, loss: 1.619579, train acc: 0.885179, train avg acc: 0.823264
Test 27, loss: 1.581672, test acc: 0.876013, test avg acc: 0.815302
Train 28, loss: 1.603747, train acc: 0.894035, train avg acc: 0.837006
Test 28, loss: 1.529643, test acc: 0.912480, test avg acc: 0.857419
Train 29, loss: 1.601029, train acc: 0.890879, train avg acc: 0.829162
Test 29, loss: 1.581317, test acc: 0.893841, test avg acc: 0.830017
Train 30, loss: 1.596735, train acc: 0.895053, train avg acc: 0.836620
Test 30, loss: 1.563240, test acc: 0.882901, test avg acc: 0.830314
Train 31, loss: 1.599282, train acc: 0.893119, train avg acc: 0.833928
Test 31, loss: 1.558026, test acc: 0.896677, test avg acc: 0.828692
Train 32, loss: 1.601924, train acc: 0.892406, train avg acc: 0.833931
Test 32, loss: 1.555637, test acc: 0.896677, test avg acc: 0.844349
Train 33, loss: 1.593786, train acc: 0.897496, train avg acc: 0.841406
Test 33, loss: 1.544703, test acc: 0.894652, test avg acc: 0.850058
Train 34, loss: 1.585392, train acc: 0.898717, train avg acc: 0.841962
Test 34, loss: 1.532812, test acc: 0.903160, test avg acc: 0.842041
Train 35, loss: 1.576510, train acc: 0.905334, train avg acc: 0.852770
Test 35, loss: 1.531079, test acc: 0.899919, test avg acc: 0.862715
Train 36, loss: 1.582323, train acc: 0.900143, train avg acc: 0.844643
Test 36, loss: 1.587438, test acc: 0.880065, test avg acc: 0.835913
Train 37, loss: 1.587423, train acc: 0.896376, train avg acc: 0.844291
Test 37, loss: 1.546937, test acc: 0.893436, test avg acc: 0.850587
Train 38, loss: 1.578918, train acc: 0.902077, train avg acc: 0.850130
Test 38, loss: 1.536670, test acc: 0.904376, test avg acc: 0.863523
Train 39, loss: 1.578956, train acc: 0.902484, train avg acc: 0.847463
Test 39, loss: 1.549816, test acc: 0.896272, test avg acc: 0.848116
Train 40, loss: 1.574371, train acc: 0.902484, train avg acc: 0.848241
Test 40, loss: 1.548307, test acc: 0.895867, test avg acc: 0.857267
Train 41, loss: 1.569771, train acc: 0.907370, train avg acc: 0.860234
Test 41, loss: 1.544548, test acc: 0.893436, test avg acc: 0.851541
Train 42, loss: 1.565837, train acc: 0.907675, train avg acc: 0.858810
Test 42, loss: 1.557355, test acc: 0.889384, test avg acc: 0.845035
Train 43, loss: 1.565781, train acc: 0.906657, train avg acc: 0.856954
Test 43, loss: 1.551988, test acc: 0.887358, test avg acc: 0.845640
Train 44, loss: 1.561660, train acc: 0.908897, train avg acc: 0.858123
Test 44, loss: 1.581597, test acc: 0.886143, test avg acc: 0.843424
Train 45, loss: 1.558344, train acc: 0.911340, train avg acc: 0.862627
Test 45, loss: 1.531705, test acc: 0.906402, test avg acc: 0.859366
Train 46, loss: 1.553313, train acc: 0.912663, train avg acc: 0.863137
Test 46, loss: 1.605695, test acc: 0.863857, test avg acc: 0.800767
Train 47, loss: 1.559353, train acc: 0.911238, train avg acc: 0.861835
Test 47, loss: 1.544948, test acc: 0.897083, test avg acc: 0.846541
Train 48, loss: 1.560247, train acc: 0.908286, train avg acc: 0.857864
Test 48, loss: 1.526255, test acc: 0.904376, test avg acc: 0.863343
Train 49, loss: 1.559553, train acc: 0.907166, train avg acc: 0.856221
Test 49, loss: 1.533685, test acc: 0.897893, test avg acc: 0.850471
Train 50, loss: 1.558893, train acc: 0.908388, train avg acc: 0.857858
Test 50, loss: 1.537452, test acc: 0.910049, test avg acc: 0.865419
Train 51, loss: 1.547396, train acc: 0.916124, train avg acc: 0.866765
Test 51, loss: 1.523028, test acc: 0.908023, test avg acc: 0.858581
