Namespace(batch_size=32, class_choice='airplane', dataset='shapenetpart', dropout=0.5, emb_dims=1024, epochs=200, eval=False, exp_name='partseg_airplane', k=40, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, visu='airplane_0', visu_format='ply')
Using GPU : 0 from 1 devices
Train 0, loss: 0.925897, train acc: 0.840986, train avg acc: 0.772980, train iou: 0.674142
Test 0, loss: 0.877271, test acc: 0.879715, test avg acc: 0.872854, test iou: 0.711412
Train 1, loss: 0.831816, train acc: 0.912788, train avg acc: 0.899128, train iou: 0.810540
Test 1, loss: 0.868127, test acc: 0.874449, test avg acc: 0.867603, test iou: 0.741609
Train 2, loss: 0.820939, train acc: 0.919070, train avg acc: 0.908194, train iou: 0.823216
Test 2, loss: 0.838246, test acc: 0.900951, test avg acc: 0.847197, test iou: 0.786107
Train 3, loss: 0.816216, train acc: 0.921810, train avg acc: 0.912667, train iou: 0.830003
Test 3, loss: 0.832775, test acc: 0.904877, test avg acc: 0.872097, test iou: 0.794012
Train 4, loss: 0.813943, train acc: 0.922450, train avg acc: 0.913819, train iou: 0.831842
Test 4, loss: 0.836925, test acc: 0.900859, test avg acc: 0.891402, test iou: 0.801375
Train 5, loss: 0.812724, train acc: 0.923793, train avg acc: 0.915394, train iou: 0.834506
Test 5, loss: 0.844445, test acc: 0.896885, test avg acc: 0.860734, test iou: 0.799306
Train 6, loss: 0.809900, train acc: 0.925709, train avg acc: 0.917875, train iou: 0.839090
Test 6, loss: 0.829922, test acc: 0.906763, test avg acc: 0.887490, test iou: 0.804585
Train 7, loss: 0.807890, train acc: 0.927315, train avg acc: 0.919339, train iou: 0.842357
Test 7, loss: 0.836840, test acc: 0.903222, test avg acc: 0.885440, test iou: 0.772843
Train 8, loss: 0.807653, train acc: 0.927304, train avg acc: 0.919411, train iou: 0.841096
Test 8, loss: 0.845246, test acc: 0.899772, test avg acc: 0.870718, test iou: 0.802830
Train 9, loss: 0.805665, train acc: 0.929137, train avg acc: 0.921143, train iou: 0.844937
Test 9, loss: 0.851776, test acc: 0.898297, test avg acc: 0.875725, test iou: 0.785641
Train 10, loss: 0.804763, train acc: 0.929338, train avg acc: 0.922052, train iou: 0.846038
Test 10, loss: 0.826597, test acc: 0.910400, test avg acc: 0.899081, test iou: 0.809102
Train 11, loss: 0.804184, train acc: 0.930373, train avg acc: 0.922672, train iou: 0.848540
Test 11, loss: 0.836130, test acc: 0.904308, test avg acc: 0.865903, test iou: 0.810627
Train 12, loss: 0.801765, train acc: 0.932096, train avg acc: 0.924835, train iou: 0.851300
